sponsor_id,tier_id,sponsor_name,category_type,investment_usd,activation_desc,booth_location,contact_email,contract_status,logo_url
SP16,ST04,Skims,Community / Partner,150000,Boardwalk luxury relaxation lounge and comfort apparel chill-out zone.,Skims Boardwalk Lounge,events@skims.com,Confirmed,https://skims.com/cdn/shop/files/skims-logo.svg
SP17,ST04,Alo Yoga,Community / Partner,120000,"Morning beach yoga sessions, mindfulness wellness tent, and festival stretch zones.",Alo Wellness Tent,community@aloyoga.com,Confirmed,https://www.aloyoga.com/cdn/shop/files/alo-logo.svg
SP18,ST04,"Hasbro, Inc.",Community / Partner,100000,"Monopoly-themed interactive game zone, giant dice roll photo-ops, and treasure hunt.",Monopoly Boardwalk Plaza,brand-events@hasbro.com,Confirmed,https://corporate.hasbro.com/images/hasbro-logo.svg
SP19,ST04,Sephora,Activating Partner,80000,"On-site brand activation, interactive pop-up, and attendee engagement at Sephora Glam Bar.",Sephora Glam Bar,partnerships@sephora.com,Confirmed,https://www.sephora.com/favicon.ico
SP20,ST04,Revolve,Activating Partner,80000,"On-site brand activation, interactive pop-up, and attendee engagement at Revolve Beach Villa.",Revolve Beach Villa,partnerships@revolve.com,Confirmed,https://www.revolve.com/favicon.ico
SP21,ST04,Fenty Beauty,Activating Partner,80000,"On-site brand activation, interactive pop-up, and attendee engagement at Fenty Glow Lounge.",Fenty Glow Lounge,partnerships@fentybeauty.com,Confirmed,https://www.fentybeauty.com/favicon.ico
SP22,ST04,Levi's,Activating Partner,80000,"On-site brand activation, interactive pop-up, and attendee engagement at Levi's Denim Workshop.",Levi's Denim Workshop,partnerships@levis.com,Confirmed,https://www.levis.com/favicon.ico
SP23,ST04,Monster Energy,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Monster Stunt Ramp.",Monster Stunt Ramp,partnerships@monsterenergy.com,Confirmed,https://www.monsterenergy.com/favicon.ico
SP24,ST04,Gatorade,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Gatorade Recovery Zone.",Gatorade Recovery Zone,partnerships@gatorade.com,Confirmed,https://www.gatorade.com/favicon.ico
SP25,ST04,GoPro,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at GoPro Creator Kiosk.",GoPro Creator Kiosk,partnerships@gopro.com,Confirmed,https://www.gopro.com/favicon.ico
SP26,ST04,Chipotle,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Chipotle Backstage Bar.",Chipotle Backstage Bar,partnerships@chipotle.com,Confirmed,https://www.chipotle.com/favicon.ico
SP27,ST04,Ray-Ban,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Ray-Ban Sunset Deck.",Ray-Ban Sunset Deck,partnerships@ray-ban.com,Confirmed,https://www.ray-ban.com/favicon.ico
SP28,ST04,Diff Eyewear,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Diff Charity Booth.",Diff Charity Booth,partnerships@diffeyewear.com,Confirmed,https://www.diffeyewear.com/favicon.ico
SP29,ST04,Summer Fridays,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Summer Fridays Mist Bar.",Summer Fridays Mist Bar,partnerships@summerfridays.com,Confirmed,https://www.summerfridays.com/favicon.ico
SP30,ST04,Bumble,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Bumble Hive Lounge.",Bumble Hive Lounge,partnerships@bumble.com,Confirmed,https://www.bumble.com/favicon.ico
SP31,ST04,Tinder,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Tinder Matchmaking Booth.",Tinder Matchmaking Booth,partnerships@tinder.com,Confirmed,https://www.tinder.com/favicon.ico
SP32,ST04,Sweetgreen,Activating Partner,50000,"On-site brand activation, interactive pop-up, and attendee engagement at Sweetgreen Salad Bar.",Sweetgreen Salad Bar,partnerships@sweetgreen.com,Confirmed,https://www.sweetgreen.com/favicon.ico
SP33,ST04,CeraVe,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at CeraVe Sunscreen Station.",CeraVe Sunscreen Station,partnerships@cerave.com,Confirmed,https://www.cerave.com/favicon.ico
SP34,ST04,Perrier,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Perrier Tasting Bar.",Perrier Tasting Bar,partnerships@perrier.com,Confirmed,https://www.perrier.com/favicon.ico
SP35,ST04,Trader Joe's,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Trader Joe's Snack Post.",Trader Joe's Snack Post,partnerships@traderjoes.com,Confirmed,https://www.traderjoes.com/favicon.ico
SP36,ST04,Champion,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Champion Custom Booth.",Champion Custom Booth,partnerships@champion.com,Confirmed,https://www.champion.com/favicon.ico
SP37,ST04,Converse,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Converse Art Station.",Converse Art Station,partnerships@converse.com,Confirmed,https://www.converse.com/favicon.ico
SP38,ST04,PacSun,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at PacSun Boutique Pop-up.",PacSun Boutique Pop-up,partnerships@pacsun.com,Confirmed,https://www.pacsun.com/favicon.ico
SP39,ST04,Princess Polly,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Princess Polly Suite.",Princess Polly Suite,partnerships@princesspolly.com,Confirmed,https://www.princesspolly.com/favicon.ico
SP40,ST04,Lulu's,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Lulu's Fashion Truck.",Lulu's Fashion Truck,partnerships@lulus.com,Confirmed,https://www.lulus.com/favicon.ico
SP41,ST04,Outdoor Voices,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Outdoor Voices Stretch Tent.",Outdoor Voices Stretch Tent,partnerships@outdoorvoices.com,Confirmed,https://www.outdoorvoices.com/favicon.ico
SP42,ST04,Aloha,Activating Partner,30000,"On-site brand activation, interactive pop-up, and attendee engagement at Aloha Protein Bar.",Aloha Protein Bar,partnerships@aloha.com,Confirmed,https://www.aloha.com/favicon.ico
SP43,ST04,Oatly,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Oatly Iced Coffee Cart.",Oatly Iced Coffee Cart,partnerships@oatly.com,Confirmed,https://www.oatly.com/favicon.ico
SP44,ST04,Vita Coco,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Vita Coco Hydration Cart.",Vita Coco Hydration Cart,partnerships@vitacoco.com,Confirmed,https://www.vitacoco.com/favicon.ico
SP45,ST04,Celsius,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Celsius Energy Lounge.",Celsius Energy Lounge,partnerships@celsius.com,Confirmed,https://www.celsius.com/favicon.ico
SP46,ST04,Liquid Death,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Liquid Death Water Stand.",Liquid Death Water Stand,partnerships@liquiddeath.com,Pending,https://www.liquiddeath.com/favicon.ico
SP47,ST04,Kendra Scott,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Kendra Scott Charm Bar.",Kendra Scott Charm Bar,partnerships@kendrascott.com,Pending,https://www.kendrascott.com/favicon.ico
SP48,ST04,Gorjana,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Gorjana Permanent Jewelry.",Gorjana Permanent Jewelry,partnerships@gorjana.com,Pending,https://www.gorjana.com/favicon.ico
SP49,ST04,Baggu,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Baggu Pouch Pop-up.",Baggu Pouch Pop-up,partnerships@baggu.com,Pending,https://www.baggu.com/favicon.ico
SP50,ST04,Supergoop,Activating Partner,15000,"On-site brand activation, interactive pop-up, and attendee engagement at Supergoop SPF Station.",Supergoop SPF Station,partnerships@supergoop.com,Pending,https://www.supergoop.com/favicon.ico
